,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-12,Sat,Premier League,Matchweek 1,Away,L 0–1,Southampton,Crystal Palace,Y,LM,90,0,0,0,0,2,1,0,0,53.0,3.0,0,0.0,0.1,0.1,0.0,1.0,0.0,31.0,44.0,70.5,2.0,37.0,2.0,2.0,1.0,/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-16,Wed,EFL Cup,Second round,Home,L 0–2,Southampton,Brentford,Y,LM,70,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/451d06e1/Southampton-Brentford-September-16-2020-EFL-Cup,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-04,Sun,Premier League,Matchweek 4,Home,W 2–0,Southampton,West Brom,N,LM,36,0,0,0,0,0,0,0,0,19.0,3.0,0,1.0,0.0,0.0,0.0,2.0,1.0,10.0,11.0,90.9,2.0,11.0,1.0,1.0,0.0,/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League,1.0,0.5,0.369047619047619
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-10-17,Sat,Premier League,Matchweek 5,Away,D 3–3,Southampton,Chelsea,Y,LM,76,0,0,0,0,1,0,0,0,38.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,32.0,56.3,1.0,19.0,0.0,3.0,1.0,/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League,0.5,0.3333333333333333,0.6904761904761906
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-25,Sun,Premier League,Matchweek 6,Home,W 2–0,Southampton,Everton,Y,LM,90,0,0,0,0,3,0,0,0,60.0,3.0,0,0.0,0.2,0.2,0.1,3.0,0.0,37.0,44.0,84.1,12.0,32.0,9.0,8.0,6.0,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League,1.0,0.5,0.642857142857143
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-11-06,Fri,Premier League,Matchweek 8,Home,W 2–0,Southampton,Newcastle Utd,N,LM,17,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,0.0,0.0,0.0,/en/matches/4117b695/Southampton-Newcastle-United-November-6-2020-Premier-League,1.0,0.8333333333333334,0.5476190476190476
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-12-07,Mon,Premier League,Matchweek 11,Away,W 2–1,Southampton,Brighton,N,LM,22,0,0,0,0,1,0,0,0,16.0,0.0,0,0.0,0.3,0.3,0.0,1.0,0.0,10.0,12.0,83.3,2.0,9.0,1.0,0.0,0.0,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League,1.0,0.8333333333333334,0.5833333333333334
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-12-13,Sun,Premier League,Matchweek 12,Home,W 3–0,Southampton,Sheffield Utd,N,LM,11,1,0,0,0,1,1,0,0,9.0,0.0,0,0.0,0.2,0.2,0.0,1.0,1.0,6.0,8.0,75.0,2.0,8.0,2.0,1.0,1.0,/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League,1.0,1.0,0.1309523809523809
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-12-16,Wed,Premier League,Matchweek 13,Away,D 1–1,Southampton,Arsenal,N,LM,28,0,0,0,0,2,0,0,0,26.0,0.0,0,0.0,0.5,0.5,0.0,2.0,0.0,19.0,24.0,79.2,7.0,22.0,2.0,2.0,2.0,/en/matches/0ceceee4/Arsenal-Southampton-December-16-2020-Premier-League,0.5,1.0,0.3809523809523809
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-19,Sat,Premier League,Matchweek 14,Home,L 0–1,Southampton,Manchester City,N,LM,32,0,0,0,0,1,1,0,0,24.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,19.0,73.7,2.0,20.0,2.0,2.0,1.0,/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League,0.0,0.8333333333333334,0.7222222222222222
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-01-26,Tue,Premier League,Matchweek 20,Home,L 1–3,Southampton,Arsenal,N,LM,24,0,0,0,0,0,0,0,0,15.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,8.0,1.0,1.0,0.0,/en/matches/ac54f8a6/Southampton-Arsenal-January-26-2021-Premier-League,0.0,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-01-30,Sat,Premier League,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,Y,"FW,RM",90,0,0,0,0,4,0,0,0,49.0,1.0,0,1.0,0.2,0.2,0.1,3.0,0.0,30.0,40.0,75.0,4.0,28.0,4.0,1.0,0.0,/en/matches/10d13e5b/Southampton-Aston-Villa-January-30-2021-Premier-League,0.0,0.1666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-02-02,Tue,Premier League,Matchweek 22,Away,L 0–9,Southampton,Manchester Utd,N,LM,21,0,0,0,0,0,0,0,0,4.0,1.0,0,0.0,0.0,0.0,0.3,1.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/37a9f2fd/Manchester-United-Southampton-February-2-2021-Premier-League,0.0,0.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-02-06,Sat,Premier League,Matchweek 23,Away,L 2–3,Southampton,Newcastle Utd,Y,"RM,WB,RB",90,0,0,0,0,1,0,0,0,75.0,3.0,3,2.0,0.0,0.0,0.1,4.0,0.0,44.0,59.0,74.6,5.0,40.0,2.0,8.0,3.0,/en/matches/5313627a/Newcastle-United-Southampton-February-6-2021-Premier-League,0.0,0.0,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-02-11,Thu,FA Cup,Fifth round proper,Away,W 2–0,Southampton,Wolves,Y,FW,90,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/58a6c558/Wolverhampton-Wanderers-Southampton-February-11-2021-FA-Cup,1.0,0.0,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-02-14,Sun,Premier League,Matchweek 24,Home,L 1–2,Southampton,Wolves,Y,"FW,AM",90,0,0,0,0,2,1,0,0,42.0,0.0,0,0.0,0.1,0.1,0.3,4.0,0.0,24.0,33.0,72.7,0.0,28.0,3.0,6.0,3.0,/en/matches/34682a95/Southampton-Wolverhampton-Wanderers-February-14-2021-Premier-League,0.0,0.3333333333333333,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-02-20,Sat,Premier League,Matchweek 25,Home,D 1–1,Southampton,Chelsea,Y,FW,89,0,1,0,0,0,0,0,0,39.0,0.0,1,1.0,0.0,0.0,0.4,1.0,1.0,16.0,23.0,69.6,3.0,20.0,0.0,2.0,0.0,/en/matches/9e4c8c99/Southampton-Chelsea-February-20-2021-Premier-League,0.5,0.3333333333333333,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2021-02-23,Tue,Premier League,Matchweek 18,Away,L 0–3,Southampton,Leeds United,Y,FW,57,0,0,0,0,1,1,0,0,27.0,0.0,0,2.0,0.1,0.1,0.0,0.0,0.0,11.0,21.0,52.4,2.0,13.0,2.0,3.0,3.0,/en/matches/6a198933/Leeds-United-Southampton-February-23-2021-Premier-League,0.0,0.5,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2021-03-01,Mon,Premier League,Matchweek 26,Away,L 0–1,Southampton,Everton,Y,LM,87,0,0,0,0,2,0,0,0,54.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,62.5,3.0,30.0,3.0,2.0,1.0,/en/matches/a81e1c82/Everton-Southampton-March-1-2021-Premier-League,0.0,0.1666666666666666,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2021-03-06,Sat,Premier League,Matchweek 27,Away,W 2–0,Southampton,Sheffield Utd,N,FW,14,0,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,3.0,66.7,0.0,4.0,1.0,1.0,0.0,/en/matches/9d08bb4e/Sheffield-United-Southampton-March-6-2021-Premier-League,1.0,0.1666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2021-03-10,Wed,Premier League,Matchweek 33,Away,L 2–5,Southampton,Manchester City,Y,"FW,LM",90,0,0,0,0,1,1,0,0,25.0,2.0,2,0.0,0.0,0.0,0.1,4.0,0.0,14.0,19.0,73.7,0.0,17.0,4.0,1.0,1.0,/en/matches/ba04db4f/Manchester-City-Southampton-March-10-2021-Premier-League,0.0,0.3333333333333333,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2021-03-14,Sun,Premier League,Matchweek 28,Home,L 1–2,Southampton,Brighton,N,"LW,RM,LM",26,0,0,0,0,0,0,0,0,13.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,2.0,9.0,0.0,0.0,0.0,/en/matches/b40eb9c6/Southampton-Brighton-and-Hove-Albion-March-14-2021-Premier-League,0.0,0.3333333333333333,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2021-03-20,Sat,FA Cup,Quarter-finals,Away,W 3–0,Southampton,Bournemouth,Y,FW,90,2,1,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/bc6bd218/Bournemouth-Southampton-March-20-2021-FA-Cup,1.0,0.3333333333333333,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-04-04,Sun,Premier League,Matchweek 30,Home,W 3–2,Southampton,Burnley,Y,"FW,AM",90,1,1,0,0,4,2,0,0,44.0,0.0,1,2.0,0.3,0.3,0.9,10.0,1.0,21.0,29.0,72.4,5.0,26.0,4.0,7.0,4.0,/en/matches/2c313b76/Southampton-Burnley-April-4-2021-Premier-League,1.0,0.3333333333333333,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-04-12,Mon,Premier League,Matchweek 31,Away,L 0–3,Southampton,West Brom,Y,"FW,RM",90,0,0,0,0,3,0,0,0,51.0,0.0,1,0.0,0.1,0.1,0.1,2.0,0.0,35.0,44.0,79.5,8.0,29.0,3.0,3.0,2.0,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,0.0,0.6666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-04-18,Sun,FA Cup,Semi-finals,Away,L 0–1,Southampton,Leicester City,Y,FW,58,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/dbbe48a0/Leicester-City-Southampton-April-18-2021-FA-Cup,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-04-21,Wed,Premier League,Matchweek 29,Away,L 1–2,Southampton,Tottenham,N,FW,7,0,0,0,0,0,0,0,0,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,/en/matches/81a7befa/Tottenham-Hotspur-Southampton-April-21-2021-Premier-League,0.0,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-04-30,Fri,Premier League,Matchweek 34,Home,D 1–1,Southampton,Leicester City,Y,FW,90,0,0,0,0,1,1,0,0,34.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,55.6,0.0,18.0,0.0,2.0,1.0,/en/matches/c0d4f879/Southampton-Leicester-City-April-30-2021-Premier-League,0.5,0.0,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-05-08,Sat,Premier League,Matchweek 35,Away,L 0–2,Southampton,Liverpool,Y,LM,90,0,0,0,0,4,1,1,0,70.0,2.0,1,0.0,0.1,0.1,0.3,3.0,0.0,43.0,53.0,81.1,2.0,39.0,4.0,3.0,3.0,/en/matches/e5923f92/Liverpool-Southampton-May-8-2021-Premier-League,0.0,0.1666666666666666,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2021-05-11,Tue,Premier League,Matchweek 32,Home,W 3–1,Southampton,Crystal Palace,Y,LM,90,0,1,0,0,3,1,0,0,67.0,0.0,0,3.0,0.1,0.1,0.2,6.0,1.0,44.0,54.0,81.5,5.0,36.0,3.0,1.0,1.0,/en/matches/5e4ec091/Southampton-Crystal-Palace-May-11-2021-Premier-League,1.0,0.1666666666666666,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2021-05-15,Sat,Premier League,Matchweek 36,Home,W 3–1,Southampton,Fulham,Y,LM,90,0,0,0,0,3,1,0,0,76.0,3.0,1,6.0,0.2,0.2,0.0,1.0,0.0,40.0,57.0,70.2,2.0,35.0,4.0,0.0,0.0,/en/matches/34739ed7/Southampton-Fulham-May-15-2021-Premier-League,1.0,0.5,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2021-05-18,Tue,Premier League,Matchweek 37,Home,L 0–2,Southampton,Leeds United,N,FW,21,0,0,0,0,3,0,0,0,15.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,10.0,70.0,1.0,6.0,0.0,1.0,0.0,/en/matches/de4e566f/Southampton-Leeds-United-May-18-2021-Premier-League,0.0,0.6666666666666666,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2021-05-23,Sun,Premier League,Matchweek 38,Away,L 0–3,Southampton,West Ham,Y,LM,90,0,0,0,0,1,0,0,0,48.0,1.0,1,0.0,0.1,0.1,0.4,11.0,0.0,32.0,38.0,84.2,2.0,32.0,13.0,7.0,5.0,/en/matches/50ec33b2/West-Ham-United-Southampton-May-23-2021-Premier-League,0.0,0.6666666666666666,0.5
